	productname	categorycode	categoryname
50404	PURITAN'S PRIDE C-TIME 1500 MG WITH ROSE HIPS TIMED RELEASE COATED CAPLETS	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50405	PURITAN'S PRIDE GINGER ROOT 550 MG RAPID RELEASE CAPSULES	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50406	PURITAN'S PRIDE GLUCOSAMINE MSM COMPLEX 500MG 333MG COATED CAPLETS	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50407	PURITAN'S PRIDE LUTEIN 6 MG EASY TO SWALLOW RAPID RELEASE SOFTGETS	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50408	PURITAN'S PRIDE RED YEAST RICE 600 MG RAPID RELEASE CAPSULES	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50409	PURITAN'S PRIDE TURMERIC 400 MG RAPID RELEASE CAPSULES	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50410	PURITAN'S PRIDE VITAMIN B-12 1500 MCG TIMED RELEASE COATED CAPLETS	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50411	PURITAN'S PRIDE VITAMIN D3 2000 IU RAPID RELEASE LIQUID SOFTGELS	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50412	PURITAN'S PRIDE VITAMIN E-1000 IU MIXED TOCOPHEROLS NATUALS RAPID RELEASE SOFTGELS	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50413	PURITAN'S PRIDE VITAMIN K-2 EASY TO SWALLOW SOFTGELS	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50417	MULTI-VITAMIN FOR 50+ WOMEN	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50421	PURITAN'S PRIDE SUPER STRENGTH EGCG 350MG RAPID RELEASE CAPSULES	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50422	CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMIN	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50425	BAUSCH & LOMB PRESERVISION LUTEIN SOFT GEL SOFT CAPSULE	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50426	BAUSCH & LOMB PRESERVISION PRESERVISION LUTEIN SOFT GEL SOFT CAPSULE	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50428	CALCIUM VIT D	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50430	COENZYME Q 100MG	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50431	FISH OIL 120MMG	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50433	POTASSIUM GLUCONATE 99MG	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50434	VITAMIN D 1000 UNITS	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50435	GIN GINS SUPER STRENGTH GINGER C	33	Candy W/O Choc/Special/Chew Gum
50436	CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMIN	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50438	ECHINACEA (ECHINACEA PURPUREA)	54	Vit/Min/Prot/Unconv Diet(Human/Animal)
50441	VITAMIN E MOISTURIZING CREAM	53	Cosmetics
